"Klaseopsis chinensis","Klaseopsis","","chinensis",NA,NA,"","","gcc-142846",TRUE,"1.1","Unresolved","Compositae","Klaseopsis","","chinensis","","","(S.Moore) L.Martins","gcc-142846","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klattia flava","Klattia","","flava",NA,NA,"","","kew-323080",TRUE,"1.1","Accepted","Iridaceae","Klattia","","flava","","","(G.J.Lewis) Goldblatt","kew-323080","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Kleinhovia hospita","Kleinhovia","","hospita",NA,NA,"","","kew-2335680",TRUE,"1.1","Accepted","Malvaceae","Kleinhovia","","hospita","","","L.","kew-2335680","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Kleinia amaniensis","Kleinia","","amaniensis",NA,NA,"","","gcc-103106",TRUE,"1.1","Accepted","Compositae","Kleinia","","amaniensis","","","(Engl.) A.Berger","gcc-103106","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Kleinia galpinii","Kleinia","","galpinii",NA,NA,"","","gcc-2199",TRUE,"1.1","Accepted","Compositae","Kleinia","","galpinii","","","Hook.f.","gcc-2199","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Kleinia neriifolia","Kleinia","","neriifolia",NA,NA,"","","gcc-139112",TRUE,"1.1","Accepted","Compositae","Kleinia","","neriifolia","","","Haw.","gcc-139112","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Kleinia odora","Kleinia","","odora",NA,NA,"","","gcc-17428",TRUE,"1.1","Accepted","Compositae","Kleinia","","odora","","","(Forssk.) DC.","gcc-17428","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Kleinia petraea","Kleinia","","petraea",NA,NA,"","","gcc-99956",TRUE,"1.1","Accepted","Compositae","Kleinia","","petraea","","","(R.E.Fr.) C.Jeffrey","gcc-99956","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Kleinia squarrosa","Kleinia","","squarrosa",NA,NA,"","","gcc-51605",TRUE,"1.1","Accepted","Compositae","Kleinia","","squarrosa","","","Cufod.","gcc-51605","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Kleinia stapeliiformis","Kleinia","","stapeliiformis",NA,NA,"","","gcc-115506",TRUE,"1.1","Accepted","Compositae","Kleinia","","stapeliiformis","","","(E.Phillips) Stapf","gcc-115506","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klotzschia brasiliensis","Klotzschia","","brasiliensis",NA,NA,"","","tro-1700734",TRUE,"1.1","Accepted","Apiaceae","Klotzschia","","brasiliensis","","","Cham.","tro-1700734","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klotzschia glaziovii","Klotzschia","","glaziovii",NA,NA,"","","tro-1700735",TRUE,"1.1","Accepted","Apiaceae","Klotzschia","","glaziovii","","","Urb.","tro-1700735","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klotzschia rhizophylla","Klotzschia","","rhizophylla",NA,NA,"","","tro-1700736",TRUE,"1.1","Accepted","Apiaceae","Klotzschia","","rhizophylla","","","Urb.","tro-1700736","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia albanica","Knautia","","albanica",NA,NA,"","","kew-2334534",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","albanica","","","Briq.","kew-2334534","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia ambigua","Knautia","","ambigua",NA,NA,"","","kew-2334540",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","ambigua","","","Boiss. & Orph.","kew-2334540","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia arvensis","Knautia","","arvensis",NA,NA,"","","kew-2334543",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","arvensis","","","(L.) Coult.","kew-2334543","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia basaltica","Knautia","","basaltica",NA,NA,"","","kew-2334473",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","basaltica","","","Chass. & Szabó","kew-2334473","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia byzantina","Knautia","","byzantina",NA,NA,"","","kew-2334461",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","byzantina","","","Fritsch","kew-2334461","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia calycina","Knautia","","calycina",NA,NA,"","","kew-2334462",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","calycina","","","(C.Presl) Guss.","kew-2334462","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia carinthiaca","Knautia","","carinthiaca",NA,NA,"","","kew-2334464",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","carinthiaca","","","Ehrend.","kew-2334464","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia collina","Knautia","","collina",NA,NA,"","","kew-2334510",TRUE,"1.1","Synonym","Caprifoliaceae","Knautia","","illyrica","","","Beck","kew-2335720","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia csikii","Knautia","","csikii",NA,NA,"","","kew-2334484",TRUE,"1.1","Unresolved","Caprifoliaceae","Knautia","","csikii","","","Jáv. & Szabo","kew-2334484","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knautia degenii","Knautia","","degenii",NA,NA,"","","kew-2898384",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","degenii","","","Borbás","kew-2898384","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia dinarica","Knautia","","dinarica",NA,NA,"","","kew-2334497",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","dinarica","","","(Murb.) Borbás","kew-2334497","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia dipsacifolia","Knautia","","dipsacifolia",NA,NA,"","","kew-2334493",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","dipsacifolia","","","Kreutzer","kew-2334493","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia drymeia","Knautia","","drymeia",NA,NA,"","","kew-2335542",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","drymeia","","","Heuff.","kew-2335542","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia godetii","Knautia","","godetii",NA,NA,"","","kew-2335748",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","godetii","","","Reut.","kew-2335748","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia illyrica","Knautia","","illyrica",NA,NA,"","","kew-2335720",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","illyrica","","","Beck","kew-2335720","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia integrifolia","Knautia","","integrifolia",NA,NA,"","","kew-2898383",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","integrifola","","","(Honck. ex L.) Bertol.","kew-2898383","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Knautia involucrata","Knautia","","involucrata",NA,NA,"","","kew-2335728",TRUE,"1.1","Unresolved","Caprifoliaceae","Knautia","","involucrata","","","Sommier & Levier","kew-2335728","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knautia lebrunii","Knautia","","lebrunii",NA,NA,"","","kew-2335764",TRUE,"1.1","Unresolved","Caprifoliaceae","Knautia","","lebrunii","","","J.Prudhomme","kew-2335764","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Knautia lucana","Knautia","","lucana",NA,NA,"","","kew-2335771",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","lucana","","","Lacaita & Szabó","kew-2335771","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia macedonica","Knautia","","macedonica",NA,NA,"","","kew-2334522",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","macedonica","","","Griseb.","kew-2334522","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Knautia midzorensis","Knautia","","midzorensis",NA,NA,"","","kew-2334525",TRUE,"1.1","Accepted","Caprifoliaceae","Knautia","","midzorensis","","","Formánek","kew-2334525","Accepted",FALSE,FALSE,FALSE,2017-05-11
