"Phlomis megalantha","Phlomis","","megalantha",NA,NA,"","","kew-152316",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","megalantha","","","(Diels) Kamelin & Makhm.","kew-152577","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis mongolica","Phlomis","","mongolica",NA,NA,"","","kew-152332",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","mongolica","","","(Turcz.) Kamelin & A.L.Budantsev","kew-152581","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis monocephala","Phlomis","","monocephala",NA,NA,"","","kew-152335",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","monocephala","","","P.H.Davis","kew-152335","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis nissolii","Phlomis","","nissolii",NA,NA,"","","kew-152342",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","nissolii","","","L.","kew-152342","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis oreophila","Phlomis","","oreophila",NA,NA,"","","kew-152356",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","oreophila","","","(Kar. & Kir.) Adylov, Kamelin & Makhm.","kew-152585","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis ornata","Phlomis","","ornata",NA,NA,"","","kew-152362",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","ornata","","","(C.Y.Wu) Kamelin & Makhm.","kew-152586","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis platystegia","Phlomis","","platystegia",NA,NA,"","","kew-152379",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","platystegia","","","Post","kew-152379","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis purpurea","Phlomis","","purpurea",NA,NA,"","","kew-152390",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","purpurea","","","L.","kew-152390","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis rigida","Phlomis","","rigida",NA,NA,"","","kew-152400",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","rigida","","","Labill.","kew-152400","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis ruptilis","Phlomis","","ruptilis",NA,NA,"","","kew-152406",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","ruptilis","","","(C.Y.Wu) Kamelin & Makhm.","kew-152602","Accepted",FALSE,FALSE,FALSE,2017-05-11
