"Neoconopodium laseroides","Neoconopodium","","laseroides",NA,NA,"","","kew-2379737",TRUE,"1.1","Unresolved","Apiaceae","Neoconopodium","","laseroides","","","(Hedge & Lamond) Pimenov & Kljuykov","kew-2379737","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Neocouma ternstroemiacea","Neocouma","","ternstroemiacea",NA,NA,"","","kew-133680",TRUE,"1.1","Accepted","Apocynaceae","Neocouma","","ternstroemiacea","","","(Müll.Arg.) Pierre","kew-133680","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neodicladiella pendula","Neodicladiella","","pendula",NA,NA,"","","tro-35188884",TRUE,"1.1","Accepted","Meteoriaceae","Neodicladiella","","pendula","","","(Sull.) W.R. Buck","tro-35188884","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neodillenia coussapoana","Neodillenia","","coussapoana",NA,NA,"","","tro-50093324",TRUE,"1.1","Accepted","Dilleniaceae","Neodillenia","","coussapoana","","","G.A. Aymard","tro-50093324","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neodistemon indicum","Neodistemon","","indicum",NA,NA,"","","tro-100354910",TRUE,"1.1","Accepted","Urticaceae","Neodistemon","","indicum","","","(Wedd.) Babu & Henry","tro-100354910","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neodolichomitra yunnanensis","Neodolichomitra","","yunnanensis",NA,NA,"","","tro-35169290",TRUE,"1.1","Accepted","Hylocomiaceae","Neodolichomitra","","yunnanensis","","","(Besch.) T.J. Kop.","tro-35169290","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neofabricia mjoebergii","Neofabricia","","mjoebergii",NA,NA,"","","kew-133726",TRUE,"1.1","Accepted","Myrtaceae","Neofabricia","","mjoebergii","","","(Cheel) Joy Thomps.","kew-133726","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neofabricia sericisepala","Neofabricia","","sericisepala",NA,NA,"","","kew-133728",TRUE,"1.1","Accepted","Myrtaceae","Neofabricia","","sericisepala","","","J.R.Clarkson & Joy Thomps.","kew-133728","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neofinetia falcata","Neofinetia","","falcata",NA,NA,"","","kew-133730",TRUE,"1.1","Accepted","Orchidaceae","Neofinetia","","falcata","","","(Thunb.) Hu","kew-133730","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neofinetia richardsiana","Neofinetia","","richardsiana",NA,NA,"","","kew-133731",TRUE,"1.1","Accepted","Orchidaceae","Neofinetia","","richardsiana","","","Christenson","kew-133731","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neofinetia xichangensis","Neofinetia","","xichangensis",NA,NA,"","","kew-255278",TRUE,"1.1","Accepted","Orchidaceae","Neofinetia","","xichangensis","","","Z.J.Liu & S.C.Chen","kew-255278","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neogaerrhinum filipes","Neogaerrhinum","","filipes",NA,NA,"","","tro-29202421",TRUE,"1.1","Accepted","Plantaginaceae","Neogaerrhinum","","filipes","","","(A. Gray) Rothm.","tro-29202421","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neogaerrhinum strictum","Neogaerrhinum","","strictum",NA,NA,"","","tro-50101187",TRUE,"1.1","Synonym","Plantaginaceae","Asarina","","stricta","","","(Hook. & Arn.) Pennell","kew-2654246","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Neogardneria murrayana","Neogardneria","","murrayana",NA,NA,"","","kew-133765",TRUE,"1.1","Accepted","Orchidaceae","Neogardneria","","murrayana","","","(Gardner ex Hook.) Schltr. ex Garay","kew-133765","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neoglaziovia burle","Neoglaziovia","","burle",NA,NA,"","","",FALSE,"1.1","","","Neoglaziovia","","burle",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neoglaziovia variegata","Neoglaziovia","","variegata",NA,NA,"","","kew-255282",TRUE,"1.1","Accepted","Bromeliaceae","Neoglaziovia","","variegata","","","(Arruda) Mez","kew-255282","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neogoezia breedlovei","Neogoezia","","breedlovei",NA,NA,"","","tro-1703442",TRUE,"1.1","Accepted","Apiaceae","Neogoezia","","breedlovei","","","Constance","tro-1703442","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neogoezia gracilipes","Neogoezia","","gracilipes",NA,NA,"","","tro-1703444",TRUE,"1.1","Accepted","Apiaceae","Neogoezia","","gracilipes","","","(Hemsl.) Hemsl.","tro-1703444","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neogoezia macvaughii","Neogoezia","","macvaughii",NA,NA,"","","tro-1703443",TRUE,"1.1","Accepted","Apiaceae","Neogoezia","","macvaughii","","","Constance","tro-1703443","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neogoezia minor","Neogoezia","","minor",NA,NA,"","","tro-1703445",TRUE,"1.1","Accepted","Apiaceae","Neogoezia","","minor","","","Hemsl.","tro-1703445","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neogoezia planipetala","Neogoezia","","planipetala",NA,NA,"","","tro-1703446",TRUE,"1.1","Accepted","Apiaceae","Neogoezia","","planipetala","","","(Hemsl.) Hemsl.","tro-1703446","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neogrollea notabilis","Neogrollea","","notabilis",NA,NA,"","","tro-35210299",TRUE,"1.1","Unresolved","Lepidoziaceae","Neogrollea","","notabilis","","","E.A. Hodgs.","tro-35210299","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Neoguarea glomerulata","Neoguarea","","glomerulata",NA,NA,"","","",FALSE,"1.1","","","Neoguarea","","glomerulata",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Neoguillauminia cleopatra","Neoguillauminia","","cleopatra",NA,NA,"","","kew-133771",TRUE,"1.1","Accepted","Euphorbiaceae","Neoguillauminia","","cleopatra","","","(Baill.) Croizat","kew-133771","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neogyna gardneriana","Neogyna","","gardneriana",NA,NA,"","","kew-133773",TRUE,"1.1","Accepted","Orchidaceae","Neogyna","","gardneriana","","","(Lindl.) Rchb.f.","kew-133773","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neohattoria herzogii","Neohattoria","","herzogii",NA,NA,"","","tro-35208810",TRUE,"1.1","Accepted","Jubulaceae","Neohattoria","","herzogii","","","(S. Hatt.) Kamim.","tro-35208810","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neohemsleya usambarensis","Neohemsleya","","usambarensis",NA,NA,"","","kew-133775",TRUE,"1.1","Accepted","Sapotaceae","Neohemsleya","","usambarensis","","","T.D.Penn.","kew-133775","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neohenricia sibbettii","Neohenricia","","sibbettii",NA,NA,"","","tro-702741",TRUE,"1.1","Accepted","Aizoaceae","Neohenricia","","sibbettii","","","(L. Bolus) L. Bolus","tro-702741","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neohenricia spiculata","Neohenricia","","spiculata",NA,NA,"","","tro-50202100",TRUE,"1.1","Accepted","Aizoaceae","Neohenricia","","spiculata","","","S.A. Hammer","tro-50202100","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neohodgsonia mirabilis","Neohodgsonia","","mirabilis",NA,NA,"","","tro-35207320",TRUE,"1.1","Accepted","Marchantiaceae","Neohodgsonia","","mirabilis","","","(Perss.) Perss.","tro-35207320","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neoholmgrenia andina","Neoholmgrenia","","andina",NA,NA,"","","tro-100000774",TRUE,"1.1","Synonym","Onagraceae","Camissonia","","andina","","","(Nutt.) P.H.Raven","kew-2694987","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neohymenopogon parasiticus","Neohymenopogon","","parasiticus",NA,NA,"","","kew-133783",TRUE,"1.1","Accepted","Rubiaceae","Neohymenopogon","","parasiticus","","","(Wall.) Bennet","kew-133783","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neohypnella diversifolia","Neohypnella","","diversifolia",NA,NA,"","","tro-35162867",TRUE,"1.1","Synonym","Sematophyllaceae","Hypnella","","diversifolia","","","(Mitt.) A. Jaeger","tro-35165125","Accepted",FALSE,FALSE,FALSE,2017-05-11
