"Zamia purpurea","Zamia","","purpurea",NA,NA,"","","kew-2469994",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","purpurea","","","Vovides, J.D.Rees & Vázq.Torres","kew-2469994","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia pygmaea","Zamia","","pygmaea",NA,NA,"","","kew-2469987",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","pygmaea","","","Sims","kew-2469987","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia restrepoi","Zamia","","restrepoi",NA,NA,"","","kew-459761",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","restrepoi","","","(D.W.Stev.) A.Lindstr.","kew-459761","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia roezlii","Zamia","","roezlii",NA,NA,"","","kew-2469990",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","roezlii","","","Regel ex Linden","kew-2469990","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia skinneri","Zamia","","skinneri",NA,NA,"","","kew-2469824",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","skinneri","","","Warsz. ex A.Dietr.","kew-2469824","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia soconuscensis","Zamia","","soconuscensis",NA,NA,"","","kew-2469613",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","soconuscensis","","","Schutzman, Vovides & Dehgan","kew-2469613","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia sp","Zamia","","sp",NA,NA,"","","",FALSE,"1.1","","","Zamia","","sp",NA,"","","","",FALSE,FALSE,FALSE,2017-05-12
"Zamia spartea","Zamia","","spartea",NA,NA,"","","kew-2469615",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","spartea","","","A.DC.","kew-2469615","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia standleyi","Zamia","","standleyi",NA,NA,"","","kew-2469629",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","standleyi","","","Schutzman","kew-2469629","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia tuerckheimii","Zamia","","tuerckheimii",NA,NA,"","","kew-2469619",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","tuerckheimii","","","Donn.Sm.","kew-2469619","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia variegata","Zamia","","variegata",NA,NA,"","","kew-2469601",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","variegata","","","Warsz.","kew-2469601","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia verschaffeltii","Zamia","","verschaffeltii",NA,NA,"","","kew-2469605",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","verschaffeltii","","","Miq.","kew-2469605","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia wallisii","Zamia","","wallisii",NA,NA,"","","kew-2469631",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","wallisii","","","A.Braun","kew-2469631","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamioculcas zamiifolia","Zamioculcas","","zamiifolia",NA,NA,"","","kew-215525",TRUE,"1.1","Accepted","Araceae","Zamioculcas","","zamiifolia","","","(Lodd.) Engl.","kew-215525","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanha africana","Zanha","","africana",NA,NA,"","","kew-2468965",TRUE,"1.1","Accepted","Sapindaceae","Zanha","","africana","","","(Radlk.) Exell","kew-2468965","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zanha golungensis","Zanha","","golungensis",NA,NA,"","","kew-2470443",TRUE,"1.1","Accepted","Sapindaceae","Zanha","","golungensis","","","Hiern","kew-2470443","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zannichellia andina","Zannichellia","","andina",NA,NA,"","","kew-339927",TRUE,"1.1","Accepted","Potamogetonaceae","Zannichellia","","andina","","","Holm-Niels. & R.R.Haynes","kew-339927","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zannichellia major","Zannichellia","","major",NA,NA,"","","tro-26300420",TRUE,"1.1","Accepted","Potamogetonaceae","Zannichellia","","major","","","Boenn. ex Reichenb.","tro-26300420","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zannichellia obtusifolia","Zannichellia","","obtusifolia",NA,NA,"","","kew-339931",TRUE,"1.1","Accepted","Potamogetonaceae","Zannichellia","","obtusifolia","","","Talavera, García-Mur. & H.Smit","kew-339931","Accepted",FALSE,FALSE,FALSE,2017-05-12
