"Polytrichum brachymitrium","Polytrichum","","brachymitrium",NA,NA,"","","tro-35125316",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichum","","brachymitrium","","","Müll. Hal.","tro-35125316","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum commune","Polytrichum","","commune",NA,NA,"","","tro-35125360",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichum","","commune","","","Hedw.","tro-35125360","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum densifolium","Polytrichum","","densifolium",NA,NA,"","","tro-35141431",TRUE,"1.1","Synonym","Polytrichaceae","Polytrichastrum","","formosum","var.","densifolium","(Wilson ex Mitt.) Z. Iwats. & Nog.","tro-35169694","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum environmental","Polytrichum","","environmental",NA,NA,"","","",FALSE,"1.1","","","Polytrichum","","environmental",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum ericoides","Polytrichum","","ericoides",NA,NA,"","","tro-35141449",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichum","","ericoides","","","Hampe","tro-35141449","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum formosum","Polytrichum","","formosum",NA,NA,"","","tro-35141464",TRUE,"1.1","Synonym","Polytrichaceae","Polytrichastrum","","formosum","","","(Hedw.) G.L. Sm.","tro-35169089","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum hyperboreum","Polytrichum","","hyperboreum",NA,NA,"","","tro-35141535",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichum","","hyperboreum","","","R. Br.","tro-35141535","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum juniperinum","Polytrichum","","juniperinum",NA,NA,"","","tro-35141563",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichum","","juniperinum","","","Hedw.","tro-35141563","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum longisetum","Polytrichum","","longisetum",NA,NA,"","","tro-35141619",TRUE,"1.1","Synonym","Polytrichaceae","Polytrichastrum","","longisetum","","","(Sw. ex Brid.) G.L. Sm.","tro-35100267","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum pallidisetum","Polytrichum","","pallidisetum",NA,NA,"","","tro-35141711",TRUE,"1.1","Synonym","Polytrichaceae","Polytrichastrum","","pallidisetum","","","(Funck) G.L. Sm.","tro-35169093","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum piliferum","Polytrichum","","piliferum",NA,NA,"","","tro-35141734",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichum","","piliferum","","","Hedw.","tro-35141734","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum sphaerothecium","Polytrichum","","sphaerothecium",NA,NA,"","","tro-35141862",TRUE,"1.1","Synonym","Polytrichaceae","Polytrichastrum","","sexangulare","var.","vulcanicum","(C.E.O. Jensen) G.L. Merr.","tro-35186494","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum strictum","Polytrichum","","strictum",NA,NA,"","","tro-35141872",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichum","","strictum","","","Menzies ex Brid.","tro-35141872","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichum subpilosum","Polytrichum","","subpilosum",NA,NA,"","","tro-35141894",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichum","","subpilosum","","","P. Beauv.","tro-35141894","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polyzygus tuberosus","Polyzygus","","tuberosus",NA,NA,"","","kew-2402992",TRUE,"1.1","Unresolved","Apiaceae","Polyzygus","","tuberosus","","","Walp.","kew-2402992","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris angustifolia","Pomaderris","","angustifolia",NA,NA,"","","kew-2544842",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","angustifolia","","","N.A.Wakef.","kew-2544842","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris brevifolia","Pomaderris","","brevifolia",NA,NA,"","","kew-2544618",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","brevifolia","","","N.G.Walsh","kew-2544618","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris clivicola","Pomaderris","","clivicola",NA,NA,"","","kew-2544617",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","clivicola","","","E.M.Ross","kew-2544617","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris elliptica","Pomaderris","","elliptica",NA,NA,"","","kew-2544606",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","elliptica","","","Labill.","kew-2544606","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris flabellaris","Pomaderris","","flabellaris",NA,NA,"","","kew-2544611",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","flabellaris","","","J.M.Black","kew-2544611","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris forrestiana","Pomaderris","","forrestiana",NA,NA,"","","kew-2544843",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","forrestiana","","","F.Muell.","kew-2544843","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris grandis","Pomaderris","","grandis",NA,NA,"","","kew-2544838",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","grandis","","","F.Muell.","kew-2544838","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pomaderris notata","Pomaderris","","notata",NA,NA,"","","kew-2544868",TRUE,"1.1","Unresolved","Rhamnaceae","Pomaderris","","notata","","","S.T.Blake","kew-2544868","Unresolved",FALSE,FALSE,FALSE,2017-05-11
