"Ceratonia siliqua","Ceratonia","","siliqua",NA,NA,"","","ild-1158",TRUE,"1.1","Accepted","Leguminosae","Ceratonia","","siliqua","","","L.","ild-1158","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratopetalum apetalum","Ceratopetalum","","apetalum",NA,NA,"","","kew-2711140",TRUE,"1.1","Accepted","Cunoniaceae","Ceratopetalum","","apetalum","","","D.Don","kew-2711140","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratopetalum gummiferum","Ceratopetalum","","gummiferum",NA,NA,"","","kew-2711146",TRUE,"1.1","Accepted","Cunoniaceae","Ceratopetalum","","gummiferum","","","Sm.","kew-2711146","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratopetalum succirubrum","Ceratopetalum","","succirubrum",NA,NA,"","","kew-2711153",TRUE,"1.1","Accepted","Cunoniaceae","Ceratopetalum","","succirubrum","","","C.T.White","kew-2711153","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratophyllum demersum","Ceratophyllum","","demersum",NA,NA,"","","kew-36902",TRUE,"1.1","Accepted","Ceratophyllaceae","Ceratophyllum","","demersum","","","L.","kew-36902","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratophyllum echinatum","Ceratophyllum","","echinatum",NA,NA,"","","kew-36922",TRUE,"1.1","Synonym","Ceratophyllaceae","Ceratophyllum","","muricatum","subsp.","australe","(Griseb.) Les","kew-36937","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratophyllum muricatum","Ceratophyllum","","muricatum",NA,NA,"","","kew-36936",TRUE,"1.1","Accepted","Ceratophyllaceae","Ceratophyllum","","muricatum","","","Cham.","kew-36936","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratophyllum platyacanthum","Ceratophyllum","","platyacanthum",NA,NA,"","","kew-36946",TRUE,"1.1","Accepted","Ceratophyllaceae","Ceratophyllum","","platyacanthum","","","Cham.","kew-36946","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratophyllum submersum","Ceratophyllum","","submersum",NA,NA,"","","kew-36951",TRUE,"1.1","Accepted","Ceratophyllaceae","Ceratophyllum","","submersum","","","L.","kew-36951","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratophyllum tanaiticum","Ceratophyllum","","tanaiticum",NA,NA,"","","kew-36959",TRUE,"1.1","Synonym","Ceratophyllaceae","Ceratophyllum","","muricatum","","","Cham.","kew-36936","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratopteris cornuta","Ceratopteris","","cornuta",NA,NA,"","","tro-26600371",TRUE,"1.1","Accepted","Pteridaceae","Ceratopteris","","cornuta","","","(P. Beauv.) Lepr.","tro-26600371","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratopteris pteridoides","Ceratopteris","","pteridoides",NA,NA,"","","tro-26601984",TRUE,"1.1","Accepted","Pteridaceae","Ceratopteris","","pteridoides","","","(Hook.) Hieron.","tro-26601984","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratopteris richardii","Ceratopteris","","richardii",NA,NA,"","","tro-26601985",TRUE,"1.1","Accepted","Pteridaceae","Ceratopteris","","richardii","","","Brongn.","tro-26601985","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratopteris thalictroides","Ceratopteris","","thalictroides",NA,NA,"","","tro-26600076",TRUE,"1.1","Accepted","Pteridaceae","Ceratopteris","","thalictroides","","","(L.) Brongn.","tro-26600076","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratopyxis verbenacea","Ceratopyxis","","verbenacea",NA,NA,"","","kew-36972",TRUE,"1.1","Accepted","Rubiaceae","Ceratopyxis","","verbenacea","","","(Griseb.) Hook.f.","kew-36972","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratosanthes palmata","Ceratosanthes","","palmata",NA,NA,"","","kew-2711169",TRUE,"1.1","Accepted","Cucurbitaceae","Ceratosanthes","","palmata","","","(L.) Urb.","kew-2711169","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostema lanceolatum","Ceratostema","","lanceolatum",NA,NA,"","","kew-2711230",TRUE,"1.1","Accepted","Ericaceae","Ceratostema","","lanceolatum","","","Benth.","kew-2711230","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostema lanigerum","Ceratostema","","lanigerum",NA,NA,"","","kew-2711231",TRUE,"1.1","Accepted","Ericaceae","Ceratostema","","lanigerum","","","(Sleumer) Luteyn","kew-2711231","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostema megabracteatum","Ceratostema","","megabracteatum",NA,NA,"","","kew-2711240",TRUE,"1.1","Accepted","Ericaceae","Ceratostema","","megabracteatum","","","Luteyn","kew-2711240","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostema peruvianum","Ceratostema","","peruvianum",NA,NA,"","","kew-2711257",TRUE,"1.1","Accepted","Ericaceae","Ceratostema","","peruvianum","","","Pers.","kew-2711257","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostema rauhii","Ceratostema","","rauhii",NA,NA,"","","kew-2711264",TRUE,"1.1","Accepted","Ericaceae","Ceratostema","","rauhii","","","Luteyn","kew-2711264","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostema reginaldii","Ceratostema","","reginaldii",NA,NA,"","","kew-2711265",TRUE,"1.1","Accepted","Ericaceae","Ceratostema","","reginaldii","","","(Sleumer) A.C.Sm.","kew-2711265","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostema silvicola","Ceratostema","","silvicola",NA,NA,"","","kew-2711271",TRUE,"1.1","Accepted","Ericaceae","Ceratostema","","silvicola","","","A.C.Sm.","kew-2711271","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostigma minus","Ceratostigma","","minus",NA,NA,"","","kew-2711288",TRUE,"1.1","Accepted","Plumbaginaceae","Ceratostigma","","minus","","","Stapf ex Prain","kew-2711288","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostigma plumbaginoides","Ceratostigma","","plumbaginoides",NA,NA,"","","kew-2711291",TRUE,"1.1","Accepted","Plumbaginaceae","Ceratostigma","","plumbaginoides","","","Bunge","kew-2711291","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostigma ulicinum","Ceratostigma","","ulicinum",NA,NA,"","","kew-2711295",TRUE,"1.1","Accepted","Plumbaginaceae","Ceratostigma","","ulicinum","","","Prain","kew-2711295","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostylis retisquama","Ceratostylis","","retisquama",NA,NA,"","","kew-37100",TRUE,"1.1","Accepted","Orchidaceae","Ceratostylis","","retisquama","","","Rchb.f.","kew-37100","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostylis rubra","Ceratostylis","","rubra",NA,NA,"","","kew-37104",TRUE,"1.1","Synonym","Orchidaceae","Ceratostylis","","retisquama","","","Rchb.f.","kew-37100","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratostylis teres","Ceratostylis","","teres",NA,NA,"","","kew-37128",TRUE,"1.1","Synonym","Orchidaceae","Ceratostylis","","subulata","","","Blume","kew-37124","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratotheca sesamoides","Ceratotheca","","sesamoides",NA,NA,"","","kew-2711306",TRUE,"1.1","Accepted","Pedaliaceae","Ceratotheca","","sesamoides","","","Endl.","kew-2711306","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratotheca triloba","Ceratotheca","","triloba",NA,NA,"","","kew-2711311",TRUE,"1.1","Accepted","Pedaliaceae","Ceratotheca","","triloba","","","(Bernh.) Hook.f.","kew-2711311","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia alvarezii","Ceratozamia","","alvarezii",NA,NA,"","","kew-2711318",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","alvarezii","","","Perez-Farrera, Vovides & Iglesias","kew-2711318","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia becerrae","Ceratozamia","","becerrae",NA,NA,"","","kew-2711319",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","becerrae","","","Pérez-Farr., Vovides & Schutzman","kew-2711319","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia brevifrons","Ceratozamia","","brevifrons",NA,NA,"","","kew-2711321",TRUE,"1.1","Synonym","Zamiaceae","Ceratozamia","","mexicana","","","Brongn.","kew-2711335","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia chimalapensis","Ceratozamia","","chimalapensis",NA,NA,"","","kew-2606625",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","chimalapensis","","","Pérez-Farr. & Vovides","kew-2606625","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratozamia decumbens","Ceratozamia","","decumbens",NA,NA,"","","kew-2606626",TRUE,"1.1","Accepted","Zamiaceae","Ceratozamia","","decumbens","","","Vovides, Avendaño, Pérez-Farr. & Gonz.-Astorga","kew-2606626","Accepted",FALSE,FALSE,FALSE,2017-05-11
